ImageNumber,ObjectNumber,Metadata_ImageBaseName,Metadata_batch,Metadata_batchpath,Metadata_posNum,Metadata_treatment,Metadata_wellNum,AreaShape_Area,Intensity_IntegratedIntensity_copB2_bgCorr,Intensity_IntegratedIntensity_copB2_saturated_bw
1,28,Well1_001--neg9--well_001--W0001--P001--T00000--Z000,Well1_001,I:\scripts\cellprofiler\cellprofiler-sanjana\example-data\Well1_001,001,neg9,001,19896,866.68202761560678,0.0
1,29,Well1_001--neg9--well_001--W0001--P001--T00000--Z000,Well1_001,I:\scripts\cellprofiler\cellprofiler-sanjana\example-data\Well1_001,001,neg9,001,10579,331.72653697431087,4.0
1,30,Well1_001--neg9--well_001--W0001--P001--T00000--Z000,Well1_001,I:\scripts\cellprofiler\cellprofiler-sanjana\example-data\Well1_001,001,neg9,001,12369,433.41107573732734,0.0
1,31,Well1_001--neg9--well_001--W0001--P001--T00000--Z000,Well1_001,I:\scripts\cellprofiler\cellprofiler-sanjana\example-data\Well1_001,001,neg9,001,18568,506.96364109218121,0.0
1,32,Well1_001--neg9--well_001--W0001--P001--T00000--Z000,Well1_001,I:\scripts\cellprofiler\cellprofiler-sanjana\example-data\Well1_001,001,neg9,001,12913,545.46861962974072,1.0
1,33,Well1_001--neg9--well_001--W0001--P001--T00000--Z000,Well1_001,I:\scripts\cellprofiler\cellprofiler-sanjana\example-data\Well1_001,001,neg9,001,18464,608.72735366970301,0.0
1,34,Well1_001--neg9--well_001--W0001--P001--T00000--Z000,Well1_001,I:\scripts\cellprofiler\cellprofiler-sanjana\example-data\Well1_001,001,neg9,001,16206,513.09993325173855,0.0
1,35,Well1_001--neg9--well_001--W0001--P001--T00000--Z000,Well1_001,I:\scripts\cellprofiler\cellprofiler-sanjana\example-data\Well1_001,001,neg9,001,15442,541.9167980439961,0.0
1,36,Well1_001--neg9--well_001--W0001--P001--T00000--Z000,Well1_001,I:\scripts\cellprofiler\cellprofiler-sanjana\example-data\Well1_001,001,neg9,001,13367,912.25790348276496,1.0
1,37,Well1_001--neg9--well_001--W0001--P001--T00000--Z000,Well1_001,I:\scripts\cellprofiler\cellprofiler-sanjana\example-data\Well1_001,001,neg9,001,14236,783.5435223095119,0.0
1,38,Well1_001--neg9--well_001--W0001--P001--T00000--Z000,Well1_001,I:\scripts\cellprofiler\cellprofiler-sanjana\example-data\Well1_001,001,neg9,001,13320,444.1622499153018,0.0
1,39,Well1_001--neg9--well_001--W0001--P001--T00000--Z000,Well1_001,I:\scripts\cellprofiler\cellprofiler-sanjana\example-data\Well1_001,001,neg9,001,12508,547.23309850692749,0.0
1,40,Well1_001--neg9--well_001--W0001--P001--T00000--Z000,Well1_001,I:\scripts\cellprofiler\cellprofiler-sanjana\example-data\Well1_001,001,neg9,001,15188,647.90984873846173,0.0
1,41,Well1_001--neg9--well_001--W0001--P001--T00000--Z000,Well1_001,I:\scripts\cellprofiler\cellprofiler-sanjana\example-data\Well1_001,001,neg9,001,15574,647.21556131914258,0.0
1,42,Well1_001--neg9--well_001--W0001--P001--T00000--Z000,Well1_001,I:\scripts\cellprofiler\cellprofiler-sanjana\example-data\Well1_001,001,neg9,001,13575,516.45068748295307,0.0
1,43,Well1_001--neg9--well_001--W0001--P001--T00000--Z000,Well1_001,I:\scripts\cellprofiler\cellprofiler-sanjana\example-data\Well1_001,001,neg9,001,17684,728.04996824264526,6.0
1,44,Well1_001--neg9--well_001--W0001--P001--T00000--Z000,Well1_001,I:\scripts\cellprofiler\cellprofiler-sanjana\example-data\Well1_001,001,neg9,001,18908,890.49234034121037,0.0
1,45,Well1_001--neg9--well_001--W0001--P001--T00000--Z000,Well1_001,I:\scripts\cellprofiler\cellprofiler-sanjana\example-data\Well1_001,001,neg9,001,18542,826.03191925212741,0.0
2,1,Well1_001--COPb2--well_001--W0001--P001--T00000--Z000,Well1_001,I:\scripts\cellprofiler\cellprofiler-sanjana\example-data\Well1_001,001,COPb2,001,17726,325.24361961334944,0.0
2,2,Well1_001--COPb2--well_001--W0001--P001--T00000--Z000,Well1_001,I:\scripts\cellprofiler\cellprofiler-sanjana\example-data\Well1_001,001,COPb2,001,17894,209.9715082347393,0.0
2,3,Well1_001--COPb2--well_001--W0001--P001--T00000--Z000,Well1_001,I:\scripts\cellprofiler\cellprofiler-sanjana\example-data\Well1_001,001,COPb2,001,19563,583.60523618385196,0.0
